name,locationStatus,timestamp,rssiOne,rssiTwo
FF:FF:C2:1D:9B:54,OUTSIDE,1551367545087,-88,-89
FF:FF:C2:1D:9B:52,OUTSIDE,1551367544588,-80,-91
FF:FF:C0:22:3D:C1,OUTSIDE,1551367544332,-76,-86
FF:FF:C2:1D:9B:54,OUTSIDE,1551367545523,-90,-89
FF:FF:C2:1D:9B:52,OUTSIDE,1551367545495,-77,-86
FF:FF:C0:22:3D:C1,OUTSIDE,1551367545523,-76,-84
FF:FF:C2:1D:9B:54,OUTSIDE,1551367547224,-84,-89
FF:FF:C2:1D:9B:52,OUTSIDE,1551367547312,-78,-83
FF:FF:C0:22:3D:C1,OUTSIDE,1551367547105,-73,-85
FF:FF:C2:1D:9B:71,OUTSIDE,1551367547192,-88,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367548757,-82,-90
FF:FF:C2:1D:9B:52,OUTSIDE,1551367548168,-75,-88
FF:FF:C0:22:3D:C1,OUTSIDE,1551367548505,-70,-80
FF:FF:C2:1D:9B:71,OUTSIDE,1551367548240,-85,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367549424,-86,-96
FF:FF:C2:1D:9B:52,OUTSIDE,1551367549231,-75,-82
FF:FF:C0:22:3D:C1,OUTSIDE,1551367549255,-70,-75
FF:FF:C2:1D:9B:71,OUTSIDE,1551367549283,-89,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367550300,-87,-91
FF:FF:C2:1D:9B:52,OUTSIDE,1551367550458,-71,-81
FF:FF:C0:22:3D:C1,OUTSIDE,1551367550441,-71,-81
FF:FF:C2:1D:9B:71,OUTSIDE,1551367550403,-86,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367551743,-87,-91
FF:FF:C2:1D:9B:52,OUTSIDE,1551367552245,-76,-88
FF:FF:C0:22:3D:C1,OUTSIDE,1551367551747,-74,-86
FF:FF:C2:1D:9B:71,OUTSIDE,1551367552363,-92,-87
FF:FF:C2:1D:9B:54,OUTSIDE,1551367553128,-89,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367553408,-85,-95
FF:FF:C0:22:3D:C1,OUTSIDE,1551367553381,-85,-86
FF:FF:C2:1D:9B:71,OUTSIDE,1551367553118,-91,-87
FF:FF:C2:1D:9B:54,OUTSIDE,1551367555180,-84,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367553979,-89,-92
FF:FF:C0:22:3D:C1,OUTSIDE,1551367554275,-87,-85
FF:FF:C2:1D:9B:71,OUTSIDE,1551367555590,-90,-87
FF:FF:C2:1D:9B:54,OUTSIDE,1551367555180,-84,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367555407,-83,-92
FF:FF:C0:22:3D:C1,OUTSIDE,1551367555135,-75,-84
FF:FF:C2:1D:9B:71,OUTSIDE,1551367555590,-90,-87
FF:FF:C2:1D:9B:54,OUTSIDE,1551367558529,-86,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367557084,-81,-92
FF:FF:C0:22:3D:C1,OUTSIDE,1551367557184,-81,-91
FF:FF:C2:1D:9B:71,OUTSIDE,1551367557099,-87,-92
FF:FF:C2:1D:9B:54,OUTSIDE,1551367558529,-86,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367558475,-90,-90
FF:FF:C0:22:3D:C1,OUTSIDE,1551367557952,-87,-87
FF:FF:C2:1D:9B:71,OUTSIDE,1551367558223,-87,-93
FF:FF:C2:1D:9B:54,OUTSIDE,1551367560884,-83,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367559203,-90,-98
FF:FF:C0:22:3D:C1,OUTSIDE,1551367559401,-87,-90
FF:FF:C2:1D:9B:71,OUTSIDE,1551367559194,-78,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367560884,-83,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367560414,-93,-93
FF:FF:C0:22:3D:C1,OUTSIDE,1551367560368,-87,-89
FF:FF:C2:1D:9B:71,OUTSIDE,1551367560478,-82,-89
FF:FF:C2:1D:9B:54,OUTSIDE,1551367561342,-87,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367561306,-90,-89
FF:FF:C0:22:3D:C1,OUTSIDE,1551367561398,-88,-86
FF:FF:C2:1D:9B:71,OUTSIDE,1551367561235,-75,-83
FF:FF:C2:1D:9B:54,OUTSIDE,1551367562476,-81,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367563358,-78,-88
FF:FF:C0:22:3D:C1,OUTSIDE,1551367563311,-85,-87
FF:FF:C2:1D:9B:71,OUTSIDE,1551367562414,-75,-86
FF:FF:C2:1D:9B:54,OUTSIDE,1551367565606,-86,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367564528,-78,-85
FF:FF:C0:22:3D:C1,OUTSIDE,1551367564328,-83,-87
FF:FF:C2:1D:9B:71,OUTSIDE,1551367564304,-80,-92
FF:FF:C2:1D:9B:54,OUTSIDE,1551367565606,-86,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367565296,-79,-85
FF:FF:C0:22:3D:C1,OUTSIDE,1551367565340,-83,-91
FF:FF:C2:1D:9B:71,OUTSIDE,1551367565284,-85,-96
FF:FF:C2:1D:9B:54,OUTSIDE,1551367566330,-84,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367566401,-78,-84
FF:FF:C0:22:3D:C1,OUTSIDE,1551367566735,-83,-91
FF:FF:C2:1D:9B:71,OUTSIDE,1551367567709,-81,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367567674,-75,-84
FF:FF:C0:22:3D:C1,OUTSIDE,1551367567509,-78,-86
FF:FF:C2:1D:9B:71,OUTSIDE,1551367567709,-81,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367568513,-82,-88
FF:FF:C0:22:3D:C1,OUTSIDE,1551367568564,-76,-86
FF:FF:C2:1D:9B:71,OUTSIDE,1551367568498,-85,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367570408,-76,-86
FF:FF:C0:22:3D:C1,OUTSIDE,1551367570473,-76,-83
FF:FF:C2:1D:9B:71,OUTSIDE,1551367570278,-88,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367571477,-71,-81
FF:FF:C0:22:3D:C1,OUTSIDE,1551367571392,-70,-83
FF:FF:C2:1D:9B:54,OUTSIDE,1551367574507,-91,-90
FF:FF:C2:1D:9B:52,OUTSIDE,1551367572400,-70,-85
FF:FF:C0:22:3D:C1,OUTSIDE,1551367572564,-68,-81
FF:FF:C2:1D:9B:71,OUTSIDE,1551367572423,-91,-89
FF:FF:C2:1D:9B:54,OUTSIDE,1551367574507,-91,-90
FF:FF:C2:1D:9B:52,OUTSIDE,1551367573531,-75,-89
FF:FF:C0:22:3D:C1,OUTSIDE,1551367573534,-73,-82
FF:FF:C2:1D:9B:71,OUTSIDE,1551367573492,-90,-89
FF:FF:C2:1D:9B:54,OUTSIDE,1551367574507,-91,-90
FF:FF:C2:1D:9B:52,OUTSIDE,1551367574432,-69,-82
FF:FF:C0:22:3D:C1,OUTSIDE,1551367575406,-76,-85
FF:FF:C2:1D:9B:71,OUTSIDE,1551367574598,-88,-89
FF:FF:C2:1D:9B:54,OUTSIDE,1551367576647,-89,-90
FF:FF:C2:1D:9B:52,OUTSIDE,1551367576502,-83,-86
FF:FF:C0:22:3D:C1,OUTSIDE,1551367576527,-79,-85
FF:FF:C2:1D:9B:71,OUTSIDE,1551367576646,-89,-89
FF:FF:C2:1D:9B:54,OUTSIDE,1551367577256,-84,-90
FF:FF:C2:1D:9B:52,OUTSIDE,1551367578552,-84,-92
FF:FF:C0:22:3D:C1,OUTSIDE,1551367577405,-83,-85
FF:FF:C2:1D:9B:71,OUTSIDE,1551367577191,-91,-87
FF:FF:C2:1D:9B:54,OUTSIDE,1551367578624,-85,-87
FF:FF:C2:1D:9B:52,OUTSIDE,1551367578552,-84,-92
FF:FF:C0:22:3D:C1,OUTSIDE,1551367578440,-80,-89
FF:FF:C2:1D:9B:71,OUTSIDE,1551367578491,-86,-95
FF:FF:C2:1D:9B:54,OUTSIDE,1551367579361,-77,-87
FF:FF:C2:1D:9B:52,OUTSIDE,1551367579310,-88,-93
FF:FF:C2:1D:9B:71,OUTSIDE,1551367579547,-85,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367580551,-78,-85
FF:FF:C2:1D:9B:52,OUTSIDE,1551367581566,-90,-95
FF:FF:C0:22:3D:C1,OUTSIDE,1551367581289,-88,-92
FF:FF:C2:1D:9B:71,OUTSIDE,1551367581480,-76,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367582058,-80,-82
FF:FF:C2:1D:9B:52,OUTSIDE,1551367584129,-94,-95
FF:FF:C0:22:3D:C1,OUTSIDE,1551367582673,-83,-92
FF:FF:C2:1D:9B:71,OUTSIDE,1551367581997,-74,-90
FF:FF:C2:1D:9B:54,OUTSIDE,1551367583719,-84,-85
FF:FF:C2:1D:9B:52,OUTSIDE,1551367584129,-94,-90
FF:FF:C0:22:3D:C1,OUTSIDE,1551367583872,-87,-92
FF:FF:C2:1D:9B:71,OUTSIDE,1551367583375,-77,-92
FF:FF:C2:1D:9B:54,OUTSIDE,1551367584584,-86,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367584270,-93,-90
FF:FF:C0:22:3D:C1,OUTSIDE,1551367584505,-85,-92
FF:FF:C2:1D:9B:71,OUTSIDE,1551367584406,-70,-90
FF:FF:C2:1D:9B:54,OUTSIDE,1551367586731,-84,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367586006,-85,-90
FF:FF:C0:22:3D:C1,OUTSIDE,1551367585479,-83,-93
FF:FF:C2:1D:9B:71,OUTSIDE,1551367586068,-78,-86
FF:FF:C2:1D:9B:52,OUTSIDE,1551367586614,-86,-93
FF:FF:C0:22:3D:C1,OUTSIDE,1551367587220,-83,-92
FF:FF:C2:1D:9B:71,OUTSIDE,1551367587492,-87,-90
FF:FF:C2:1D:9B:54,OUTSIDE,1551367588076,-88,-98
FF:FF:C2:1D:9B:52,OUTSIDE,1551367588167,-95,-93
FF:FF:C0:22:3D:C1,OUTSIDE,1551367588131,-80,-79
FF:FF:C2:1D:9B:71,OUTSIDE,1551367588167,-86,-92
FF:FF:C2:1D:9B:54,OUTSIDE,1551367591205,-86,-98
FF:FF:C2:1D:9B:52,OUTSIDE,1551367590199,-86,-89
FF:FF:C0:22:3D:C1,OUTSIDE,1551367590151,-75,-86
FF:FF:C2:1D:9B:71,OUTSIDE,1551367590132,-95,-94
FF:FF:C2:1D:9B:54,OUTSIDE,1551367591205,-86,-98
FF:FF:C2:1D:9B:52,OUTSIDE,1551367591305,-83,-89
FF:FF:C0:22:3D:C1,OUTSIDE,1551367591296,-75,-87
FF:FF:C2:1D:9B:71,OUTSIDE,1551367591222,-89,-92
FF:FF:C2:1D:9B:54,OUTSIDE,1551367592214,-84,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367592011,-91,-81
FF:FF:C0:22:3D:C1,OUTSIDE,1551367592130,-73,-82
FF:FF:C2:1D:9B:71,OUTSIDE,1551367592121,-92,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367593651,-87,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367593412,-74,-80
FF:FF:C0:22:3D:C1,OUTSIDE,1551367593482,-67,-81
FF:FF:C2:1D:9B:71,OUTSIDE,1551367593558,-90,-95
FF:FF:C2:1D:9B:54,OUTSIDE,1551367594179,-90,-88
FF:FF:C2:1D:9B:52,OUTSIDE,1551367594132,-76,-83
FF:FF:C0:22:3D:C1,OUTSIDE,1551367594768,-71,-81
FF:FF:C2:1D:9B:71,OUTSIDE,1551367594314,-90,-91
FF:FF:C2:1D:9B:54,OUTSIDE,1551367595675,-83,-88
FF:FF:C2:1D:9B:52,OUTSIDE,1551367595542,-71,-82
FF:FF:C0:22:3D:C1,OUTSIDE,1551367595409,-68,-90
FF:FF:C2:1D:9B:71,OUTSIDE,1551367595635,-87,-90
FF:FF:C2:1D:9B:54,OUTSIDE,1551367596584,-87,-87
FF:FF:C2:1D:9B:52,OUTSIDE,1551367597660,-72,-82
FF:FF:C0:22:3D:C1,OUTSIDE,1551367597420,-73,-90
FF:FF:C2:1D:9B:71,OUTSIDE,1551367597652,-86,-94
FF:FF:C2:1D:9B:54,OUTSIDE,1551367597661,-81,-93
FF:FF:C2:1D:9B:52,OUTSIDE,1551367597660,-72,-88
FF:FF:C0:22:3D:C1,OUTSIDE,1551367598102,-81,-85
FF:FF:C2:1D:9B:71,OUTSIDE,1551367597652,-86,-89
FF:FF:C2:1D:9B:54,OUTSIDE,1551367599378,-79,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367599559,-80,-91
FF:FF:C0:22:3D:C1,OUTSIDE,1551367599375,-83,-82
FF:FF:C2:1D:9B:71,OUTSIDE,1551367599459,-83,-89
FF:FF:C2:1D:9B:54,OUTSIDE,1551367600793,-94,-89
FF:FF:C0:22:3D:C1,OUTSIDE,1551367600374,-91,-88
FF:FF:C2:1D:9B:71,OUTSIDE,1551367600432,-77,-84
FF:FF:C2:1D:9B:54,OUTSIDE,1551367601346,-86,-89
FF:FF:C0:22:3D:C1,OUTSIDE,1551367601463,-82,-86
FF:FF:C2:1D:9B:71,OUTSIDE,1551367601521,-82,-90
FF:FF:C2:1D:9B:54,OUTSIDE,1551367602410,-84,-91
FF:FF:C2:1D:9B:52,OUTSIDE,1551367602648,-93,-94
FF:FF:C0:22:3D:C1,OUTSIDE,1551367603530,-87,-89
FF:FF:C2:1D:9B:71,OUTSIDE,1551367603759,-72,-82
FF:FF:C2:1D:9B:52,OUTSIDE,1551367604836,-95,-94
FF:FF:C0:22:3D:C1,OUTSIDE,1551367604330,-89,-89
FF:FF:C2:1D:9B:71,OUTSIDE,1551367603759,-72,-86
FF:FF:C2:1D:9B:54,OUTSIDE,1551367605071,-88,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367604836,-95,-94
FF:FF:C0:22:3D:C1,OUTSIDE,1551367606189,-87,-88
FF:FF:C2:1D:9B:71,OUTSIDE,1551367605216,-70,-86
FF:FF:C2:1D:9B:54,OUTSIDE,1551367606427,-83,-92
FF:FF:C2:1D:9B:52,OUTSIDE,1551367606527,-91,-94
FF:FF:C0:22:3D:C1,OUTSIDE,1551367606189,-87,-88
FF:FF:C2:1D:9B:71,OUTSIDE,1551367606324,-78,-87
FF:FF:C2:1D:9B:54,OUTSIDE,1551367608053,-87,-86
FF:FF:C2:1D:9B:52,OUTSIDE,1551367608424,-85,-93
